data,serie,variacao,z_score,aquecendo
1995-02-16 18:15:00.000000,dolar,0.008,3.02,True
1995-03-07 19:19:00.000000,dolar,0.018,4.67,True
1996-01-23 18:02:00.000000,dolar,0.002,3.3,False
1996-09-11 18:28:00.000000,dolar,-0.0014,-4.56,False
1996-12-17 18:02:00.000000,dolar,0.0018,3.01,False
1996-12-18 18:20:00.000000,dolar,-0.0024,-5.22,False
1997-03-17 19:03:00.000000,dolar,0.0028,5.62,False
1997-03-31 19:04:00.000000,dolar,-0.0016,-3.42,False
1997-06-20 18:09:00.000000,dolar,0.002,3.07,False
1997-08-22 17:58:00.000000,dolar,0.0024,4.66,False
1997-09-08 19:40:00.000000,dolar,-0.0013,-3.39,False
1997-10-28 18:15:00.000000,dolar,0.0037,6.63,False
1997-10-29 18:06:00.000000,dolar,-0.004,-6.35,False
1997-10-30 18:34:00.000000,dolar,0.0039,3.96,False
1997-10-31 18:24:00.000000,dolar,-0.0032,-3.45,False
1998-04-30 18:21:00.000000,dolar,-0.001,-4.43,False
1998-05-22 18:07:00.000000,dolar,0.0018,3.77,False
1998-05-27 18:13:00.000000,dolar,-0.0011,-3.33,False
1998-05-28 18:11:00.000000,dolar,-0.002,-4.83,False
1998-07-15 18:07:00.000000,dolar,-0.0019,-3.34,False
1998-07-23 18:16:00.000000,dolar,0.0027,3.19,False
1998-07-28 18:15:00.000000,dolar,-0.0026,-3.64,False
1998-10-01 19:03:00.000000,dolar,-0.0049,-5.42,False
1999-01-13 18:44:00.000000,dolar,0.1079,140.46,False
1999-01-15 18:44:00.000000,dolar,0.1465,9.84,False
1999-01-21 19:55:00.000000,dolar,0.0867,3.04,False
1999-01-26 19:22:00.000000,dolar,0.1164,3.61,False
1999-02-02 19:35:00.000000,dolar,-0.1658,-5.37,False
1999-08-23 19:08:00.000000,dolar,-0.0791,-5.86,False
2000-01-04 19:13:00.000000,dolar,0.0326,3.53,False
2000-10-25 18:28:00.000000,dolar,0.0301,4.55,False
2001-03-16 18:25:00.000000,dolar,0.0353,4.01,False
2001-03-20 18:10:00.000000,dolar,-0.0348,-4.09,False
2001-03-22 18:35:00.000000,dolar,0.0419,3.78,False
2001-04-20 18:24:00.000000,dolar,0.0482,3.1,False
2001-04-26 18:46:00.000000,dolar,-0.047,-3.18,False
2001-06-21 17:30:00.000000,dolar,-0.0694,-3.34,False
2001-06-22 17:33:00.000000,dolar,-0.0758,-3.24,False
2002-06-12 17:40:00.000000,dolar,0.0822,4.43,False
2002-06-13 17:45:00.000000,dolar,-0.0564,-3.16,False
2002-07-29 17:43:00.000000,dolar,0.1272,4.18,False
2002-07-30 17:41:00.000000,dolar,0.1243,3.48,False
2002-07-31 18:03:00.000000,dolar,0.1593,4.07,False
2002-08-02 17:48:00.000000,dolar,-0.2973,-7.23,False
2003-08-04 17:40:00.000000,dolar,0.0734,3.01,False
2004-01-29 17:41:00.000000,dolar,0.0451,4.01,False
2004-02-25 17:46:00.000000,dolar,-0.0475,-3.27,False
2004-05-07 17:53:00.000000,dolar,0.0605,4.01,False
2004-05-10 17:40:00.000000,dolar,0.0745,4.3,False
