data,subsidio_veiculos,dolar,ntnb_2035,soja,juro_imovel,juro_veiculos
2026-08-07,-8.68,5.1017,8.13,1156.5,14.28,26.52
2026-08-10,-7.89,5.0908,8.08,1157.75,14.28,26.52
2026-08-11,-9.17,5.0963,8.14,1147.5,14.28,26.52
2026-08-12,-7.7,5.1285,8.09,1164.75,14.28,26.52
2026-08-13,-7.37,5.1639,8.1,1168.25,14.28,26.52
2026-08-14,-6.88,5.1859,8.1,1173.75,14.28,26.52
2026-08-17,-6.51,5.2236,8.11,1201.0,14.28,26.52
2026-08-18,-6.39,5.2014,8.08,1200.75,14.28,26.52
2026-08-19,-7.58,5.2043,8.04,1222.25,14.28,26.52
2026-08-20,-7.53,5.1714,8.05,1220.75,14.28,26.52
2026-08-21,-8.18,5.1862,7.94,1225.0,14.28,26.52
2026-08-24,-5.49,5.1625,7.96,1216.0,14.28,26.52
2026-08-25,-5.390000000000001,5.1512,7.94,1228.0,14.28,26.52
2026-08-26,-4.4,5.149,7.88,1254.25,14.28,26.52
2026-08-27,-3.4399999999999995,5.1604,7.93,1256.5,14.28,26.52
2026-08-28,-3.1799999999999997,5.1642,7.88,1276.25,14.28,26.52
