inicio_periodo,fim_periodo,spread_veiculos,dolar,ntnb_2035,soja,juro_imovel,juro_veiculos
2026-08-07,2026-08-13,43.56,5.1639,8.1,1168.25,14.28,26.52
2026-08-10,2026-08-14,42.81,5.1859,8.1,1173.75,14.28,26.52
2026-08-11,2026-08-17,43.870000000000005,5.2236,8.11,1201.0,14.28,26.52
2026-08-12,2026-08-18,42.25,5.2014,8.08,1200.75,14.28,26.52
2026-08-13,2026-08-19,41.98,5.2043,8.04,1222.25,14.28,26.52
2026-08-14,2026-08-20,41.38,5.1714,8.05,1220.75,14.28,26.52
2026-08-17,2026-08-21,40.93,5.1862,7.94,1225.0,14.28,26.52
2026-08-18,2026-08-24,40.27,5.1625,7.96,1216.0,14.28,26.52
2026-08-19,2026-08-25,41.559999999999995,5.1512,7.94,1228.0,14.28,26.52
2026-08-20,2026-08-26,41.09,5.149,7.88,1254.25,14.28,26.52
2026-08-21,2026-08-27,41.66,5.1604,7.93,1256.5,14.28,26.52
2026-08-24,2026-08-28,38.870000000000005,5.1642,7.88,1276.25,14.28,26.52
2026-08-25,2026-08-31,40.33,5.2005,7.92,1275.25,14.28,26.52
2026-08-26,2026-09-01,38.43,5.1816,8.04,1306.75,14.28,26.52
