data,comprometimento_renda
2005-03-01,17.0
2005-04-01,17.2
2005-05-01,17.42
2005-06-01,17.55
2005-07-01,17.71
2005-08-01,17.93
2005-09-01,18.29
2005-10-01,18.55
2005-11-01,18.63
2005-12-01,18.68
2006-01-01,18.68
2006-02-01,18.95
2006-03-01,19.28
2006-04-01,19.53
2006-05-01,19.56
2006-06-01,19.55
2006-07-01,19.5
2006-08-01,19.65
2006-09-01,19.51
2006-10-01,19.43
2006-11-01,19.26
2006-12-01,19.5
2007-01-01,19.39
2007-02-01,19.27
2007-03-01,18.93
2007-04-01,18.75
2007-05-01,18.56
2007-06-01,18.87
2007-07-01,19.23
2007-08-01,19.43
2007-09-01,19.29
2007-10-01,19.28
2007-11-01,19.43
2007-12-01,19.37
2008-01-01,19.62
2008-02-01,19.85
2008-03-01,20.24
2008-04-01,20.41
2008-05-01,20.44
2008-06-01,20.41
2008-07-01,20.47
2008-08-01,20.58
2008-09-01,20.64
2008-10-01,20.77
2008-11-01,20.77
2008-12-01,20.87
2009-01-01,20.89
2009-02-01,21.0
2009-03-01,21.06
2009-04-01,21.16
2009-05-01,21.34
2009-06-01,21.66
2009-07-01,21.81
2009-08-01,21.89
2009-09-01,21.99
2009-10-01,22.15
2009-11-01,22.22
2009-12-01,22.2
2010-01-01,22.3
2010-02-01,22.27
2010-03-01,22.34
2010-04-01,22.48
2010-05-01,22.72
2010-06-01,23.04
2010-07-01,23.09
2010-08-01,23.13
2010-09-01,23.23
2010-10-01,23.18
2010-11-01,23.54
2010-12-01,23.96
2011-01-01,24.19
2011-02-01,23.96
2011-03-01,23.92
2011-04-01,23.84
2011-05-01,23.77
2011-06-01,23.58
2011-07-01,23.49
2011-08-01,23.7
2011-09-01,24.2
2011-10-01,24.67
2011-11-01,24.62
2011-12-01,24.58
2012-01-01,24.54
2012-02-01,24.49
2012-03-01,24.54
2012-04-01,24.47
2012-05-01,24.53
2012-06-01,24.38
2012-07-01,24.09
2012-08-01,23.8
2012-09-01,23.59
2012-10-01,23.44
2012-11-01,23.46
2012-12-01,23.47
2013-01-01,23.15
2013-02-01,23.09
2013-03-01,22.89
2013-04-01,22.75
2013-05-01,22.33
2013-06-01,22.21
2013-07-01,22.18
2013-08-01,22.24
2013-09-01,22.31
2013-10-01,22.3
2013-11-01,22.44
2013-12-01,22.68
2014-01-01,22.59
2014-02-01,22.58
2014-03-01,22.48
2014-04-01,22.6
2014-05-01,22.71
2014-06-01,22.78
2014-07-01,22.83
2014-08-01,22.67
2014-09-01,22.7
2014-10-01,22.72
2014-11-01,23.11
2014-12-01,23.48
2015-01-01,23.92
2015-02-01,24.08
2015-03-01,24.02
2015-04-01,24.18
2015-05-01,24.18
2015-06-01,24.29
2015-07-01,24.3
2015-08-01,24.37
2015-09-01,24.61
2015-10-01,24.22
2015-11-01,23.75
2015-12-01,22.99
2016-01-01,23.26
2016-02-01,23.37
2016-03-01,23.65
2016-04-01,23.7
2016-05-01,23.97
2016-06-01,24.04
2016-07-01,23.84
2016-08-01,23.79
2016-09-01,23.81
2016-10-01,23.74
2016-11-01,23.57
2016-12-01,23.22
2017-01-01,23.15
2017-02-01,22.96
2017-03-01,22.93
2017-04-01,22.54
2017-05-01,22.18
2017-06-01,22.17
2017-07-01,22.35
2017-08-01,22.66
2017-09-01,22.78
2017-10-01,22.56
2017-11-01,22.34
2017-12-01,22.09
2018-01-01,21.94
2018-02-01,21.89
2018-03-01,21.99
2018-04-01,22.25
2018-05-01,22.48
2018-06-01,22.86
2018-07-01,22.4
2018-08-01,22.1
2018-09-01,22.16
2018-10-01,22.16
2018-11-01,22.31
2018-12-01,22.58
2019-01-01,22.75
2019-02-01,22.96
2019-03-01,22.96
2019-04-01,23.5
2019-05-01,23.85
2019-06-01,25.13
2019-07-01,24.69
2019-08-01,24.73
2019-09-01,23.91
2019-10-01,23.53
2019-11-01,22.99
2019-12-01,22.65
2020-01-01,22.59
2020-02-01,22.64
2020-03-01,23.71
2020-04-01,23.25
2020-05-01,21.83
2020-06-01,20.54
2020-07-01,19.92
2020-08-01,19.77
2020-09-01,20.03
2020-10-01,20.45
2020-11-01,21.25
2020-12-01,21.84
2021-01-01,22.17
2021-02-01,21.97
2021-03-01,22.32
2021-04-01,22.39
2021-05-01,22.78
2021-06-01,22.96
2021-07-01,23.27
2021-08-01,23.63
2021-09-01,24.51
2021-10-01,25.15
2021-11-01,25.45
2021-12-01,25.58
2022-01-01,26.02
2022-02-01,25.65
2022-03-01,25.4
2022-04-01,25.6
2022-05-01,25.45
2022-06-01,25.96
2022-07-01,26.5
2022-08-01,26.91
2022-09-01,27.17
2022-10-01,27.21
2022-11-01,27.32
2022-12-01,27.57
2023-01-01,27.67
2023-02-01,27.69
2023-03-01,27.71
2023-04-01,27.81
2023-05-01,27.96
2023-06-01,27.78
2023-07-01,27.33
2023-08-01,26.89
2023-09-01,26.78
2023-10-01,26.79
2023-11-01,26.49
2023-12-01,25.84
2024-01-01,25.72
2024-02-01,25.83
2024-03-01,26.13
2024-04-01,26.13
2024-05-01,26.02
2024-06-01,26.38
2024-07-01,26.53
2024-08-01,26.73
2024-09-01,26.49
2024-10-01,26.39
2024-11-01,26.39
2024-12-01,26.8
2025-01-01,26.71
2025-02-01,26.85
2025-03-01,26.96
2025-04-01,27.12
2025-05-01,27.19
2025-06-01,27.17
2025-07-01,27.32
2025-08-01,27.55
2025-09-01,27.77
2025-10-01,27.92
2025-11-01,27.89
2025-12-01,28.09
2026-01-01,28.23
2026-02-01,28.27
2026-03-01,28.24
2026-04-01,28.38
2026-05-01,28.49
2026-06-01,28.85
