data,dbgg_pib
2002-01-01,50.36
2002-02-01,49.62
2002-03-01,49.0
2002-04-01,49.09
2002-05-01,50.32
2002-06-01,52.5
2002-07-01,57.3
2002-08-01,53.35
2002-09-01,59.8
2002-10-01,57.63
2002-11-01,57.87
2002-12-01,57.75
2003-01-01,58.45
2003-02-01,58.63
2003-03-01,56.99
2003-04-01,53.36
2003-05-01,53.97
2003-06-01,53.56
2003-07-01,54.42
2003-08-01,54.6
2003-09-01,52.38
2003-10-01,51.37
2003-11-01,51.82
2003-12-01,52.46
2004-01-01,52.88
2004-02-01,52.18
2004-03-01,51.75
2004-04-01,51.47
2004-05-01,52.19
2004-06-01,51.77
2004-07-01,51.03
2004-08-01,50.42
2004-09-01,49.74
2004-10-01,49.7
2004-11-01,48.89
2004-12-01,49.09
2005-01-01,48.49
2005-02-01,48.19
2005-03-01,48.22
2005-04-01,47.11
2005-05-01,46.49
2005-06-01,46.48
2005-07-01,46.65
2005-08-01,46.51
2005-09-01,45.96
2005-10-01,45.86
2005-11-01,45.71
2005-12-01,46.54
2006-01-01,46.68
2006-02-01,46.38
2006-03-01,46.38
2006-04-01,45.59
2006-05-01,46.21
2006-06-01,45.69
2006-07-01,45.58
2006-08-01,45.34
2006-09-01,45.44
2006-10-01,44.94
2006-11-01,45.0
2006-12-01,45.29
2007-01-01,45.29
2007-02-01,45.2
2007-03-01,44.76
2007-04-01,43.97
2007-05-01,43.42
2007-06-01,43.03
2007-07-01,42.68
2007-08-01,42.77
2007-09-01,42.5
2007-10-01,43.08
2007-11-01,43.04
2007-12-01,43.43
2008-01-01,42.72
2008-02-01,42.76
2008-03-01,41.98
2008-04-01,41.87
2008-05-01,42.09
2008-06-01,42.95
2008-07-01,42.81
2008-08-01,42.11
2008-09-01,40.06
2008-10-01,38.21
2008-11-01,37.16
2008-12-01,37.79
2009-01-01,38.21
2009-02-01,38.26
2009-03-01,37.94
2009-04-01,38.48
2009-05-01,39.51
2009-06-01,39.9
2009-07-01,40.95
2009-08-01,40.95
2009-09-01,41.9
2009-10-01,41.79
2009-11-01,41.32
2009-12-01,41.35
2010-01-01,40.18
2010-02-01,40.45
2010-03-01,40.41
2010-04-01,40.01
2010-05-01,39.56
2010-06-01,39.51
2010-07-01,39.62
2010-08-01,39.43
2010-09-01,38.63
2010-10-01,38.32
2010-11-01,38.23
2010-12-01,38.48
2011-01-01,38.08
2011-02-01,38.07
2011-03-01,38.02
2011-04-01,37.94
2011-05-01,37.84
2011-06-01,37.73
2011-07-01,37.5
2011-08-01,36.99
2011-09-01,35.15
2011-10-01,36.17
2011-11-01,35.38
2011-12-01,35.1
2012-01-01,35.62
2012-02-01,35.75
2012-03-01,34.7
2012-04-01,33.95
2012-05-01,33.3
2012-06-01,33.42
2012-07-01,33.17
2012-08-01,33.39
2012-09-01,33.11
2012-10-01,33.0
2012-11-01,32.68
2012-12-01,32.84
2013-01-01,32.92
2013-02-01,33.37
2013-03-01,32.96
2013-04-01,32.78
2013-05-01,32.19
2013-06-01,31.92
2013-07-01,31.59
2013-08-01,31.39
2013-09-01,31.92
2013-10-01,32.16
2013-11-01,31.22
2013-12-01,31.14
2014-01-01,30.71
2014-02-01,31.05
2014-03-01,31.17
2014-04-01,31.16
2014-05-01,31.55
2014-06-01,31.92
2014-07-01,32.08
2014-08-01,32.59
2014-09-01,32.55
2014-10-01,32.86
2014-11-01,32.92
2014-12-01,33.15
2015-01-01,33.35
2015-02-01,33.16
2015-03-01,32.82
2015-04-01,33.62
2015-05-01,33.76
2015-06-01,34.42
2015-07-01,34.47
2015-08-01,34.22
2015-09-01,34.09
2015-10-01,35.12
2015-11-01,36.13
2015-12-01,37.9
2016-01-01,38.09
2016-02-01,39.16
2016-03-01,40.12
2016-04-01,40.55
2016-05-01,40.97
2016-06-01,42.94
2016-07-01,43.57
2016-08-01,44.5
2016-09-01,45.35
2016-10-01,45.51
2016-11-01,45.4
2016-12-01,47.77
2017-01-01,48.36
2017-02-01,49.18
2017-03-01,49.39
2017-04-01,49.38
2017-05-01,49.94
2017-06-01,50.27
2017-07-01,51.51
2017-08-01,51.98
2017-09-01,52.5
2017-10-01,52.32
2017-11-01,52.69
2017-12-01,53.23
2018-01-01,53.33
2018-02-01,53.51
2018-03-01,53.57
2018-04-01,52.98
2018-05-01,52.5
2018-06-01,52.67
2018-07-01,53.32
2018-08-01,52.32
2018-09-01,53.2
2018-10-01,54.3
2018-11-01,54.12
2018-12-01,54.72
2019-01-01,55.03
2019-02-01,55.18
2019-03-01,54.83
2019-04-01,54.87
2019-05-01,55.05
