data,endividamento
2005-01-01,16.51
2005-02-01,16.84
2005-03-01,17.2
2005-04-01,17.6
2005-05-01,17.96
2005-06-01,18.12
2005-07-01,18.4
2005-08-01,18.85
2005-09-01,19.11
2005-10-01,19.37
2005-11-01,19.61
2005-12-01,19.56
2006-01-01,19.89
2006-02-01,20.11
2006-03-01,20.45
2006-04-01,20.78
2006-05-01,21.07
2006-06-01,21.16
2006-07-01,21.39
2006-08-01,21.65
2006-09-01,21.74
2006-10-01,21.85
2006-11-01,22.07
2006-12-01,21.98
2007-01-01,22.28
2007-02-01,22.48
2007-03-01,22.04
2007-04-01,22.36
2007-05-01,22.88
2007-06-01,23.09
2007-07-01,23.57
2007-08-01,23.77
2007-09-01,23.97
2007-10-01,24.56
2007-11-01,24.88
2007-12-01,24.96
2008-01-01,25.29
2008-02-01,25.5
2008-03-01,25.99
2008-04-01,26.45
2008-05-01,26.8
2008-06-01,26.92
2008-07-01,27.15
2008-08-01,27.25
2008-09-01,27.41
2008-10-01,27.78
2008-11-01,27.46
2008-12-01,27.44
2009-01-01,27.26
2009-02-01,27.26
2009-03-01,27.32
2009-04-01,27.49
2009-05-01,27.85
2009-06-01,28.01
2009-07-01,28.15
2009-08-01,28.42
2009-09-01,28.76
2009-10-01,28.93
2009-11-01,29.12
2009-12-01,29.45
2010-01-01,29.82
2010-02-01,29.95
2010-03-01,30.35
2010-04-01,30.7
2010-05-01,31.19
2010-06-01,31.41
2010-07-01,32.03
2010-08-01,32.34
2010-09-01,32.65
2010-10-01,32.94
2010-11-01,33.46
2010-12-01,33.97
2011-01-01,34.1
2011-02-01,34.23
2011-03-01,34.86
2011-04-01,34.9
2011-05-01,35.11
2011-06-01,35.29
2011-07-01,35.37
2011-08-01,35.98
2011-09-01,36.27
2011-10-01,36.45
2011-11-01,36.5
2011-12-01,36.56
2012-01-01,36.79
2012-02-01,36.78
2012-03-01,36.87
2012-04-01,36.99
2012-05-01,37.21
2012-06-01,37.42
2012-07-01,37.54
2012-08-01,37.71
2012-09-01,37.49
2012-10-01,37.69
2012-11-01,37.88
2012-12-01,38.04
2013-01-01,38.22
2013-02-01,38.27
2013-03-01,38.15
2013-04-01,38.29
2013-05-01,38.4
2013-06-01,38.4
2013-07-01,38.56
2013-08-01,38.69
2013-09-01,38.49
2013-10-01,38.36
2013-11-01,38.36
2013-12-01,38.21
2014-01-01,38.3
2014-02-01,38.25
2014-03-01,38.15
2014-04-01,38.14
2014-05-01,38.3
2014-06-01,38.48
2014-07-01,38.56
2014-08-01,38.63
2014-09-01,38.73
2014-10-01,38.95
2014-11-01,38.95
2014-12-01,39.24
2015-01-01,39.63
2015-02-01,39.64
2015-03-01,39.74
2015-04-01,40.01
2015-05-01,40.02
2015-06-01,40.09
2015-07-01,40.38
2015-08-01,40.57
2015-09-01,40.8
2015-10-01,40.81
2015-11-01,40.54
2015-12-01,40.05
2016-01-01,40.04
2016-02-01,39.7
2016-03-01,39.54
2016-04-01,39.25
2016-05-01,39.16
2016-06-01,39.03
2016-07-01,38.83
2016-08-01,38.72
2016-09-01,38.48
2016-10-01,38.21
2016-11-01,38.24
2016-12-01,38.11
2017-01-01,38.0
2017-02-01,37.88
2017-03-01,37.8
2017-04-01,37.45
2017-05-01,37.38
2017-06-01,37.32
2017-07-01,37.33
2017-08-01,37.37
2017-09-01,37.25
2017-10-01,37.3
2017-11-01,37.38
2017-12-01,37.22
2018-01-01,37.25
2018-02-01,37.23
2018-03-01,37.26
2018-04-01,37.48
2018-05-01,37.75
2018-06-01,37.84
2018-07-01,37.82
2018-08-01,38.0
2018-09-01,38.03
2018-10-01,38.28
2018-11-01,38.8
2018-12-01,39.02
2019-01-01,39.27
2019-02-01,39.55
2019-03-01,39.6
2019-04-01,39.83
2019-05-01,40.13
2019-06-01,40.56
2019-07-01,40.72
2019-08-01,41.11
2019-09-01,41.21
2019-10-01,41.33
2019-11-01,41.56
2019-12-01,41.46
2020-01-01,41.55
2020-02-01,41.53
2020-03-01,41.62
2020-04-01,40.91
2020-05-01,40.05
2020-06-01,39.38
2020-07-01,39.21
2020-08-01,39.17
2020-09-01,39.57
2020-10-01,40.2
2020-11-01,41.04
2020-12-01,41.78
2021-01-01,42.11
2021-02-01,42.31
2021-03-01,42.47
2021-04-01,42.89
2021-05-01,43.85
2021-06-01,44.53
2021-07-01,45.2
2021-08-01,46.46
2021-09-01,47.5
2021-10-01,48.19
2021-11-01,48.95
2021-12-01,49.48
2022-01-01,49.67
2022-02-01,49.54
2022-03-01,49.6
2022-04-01,49.67
2022-05-01,49.56
2022-06-01,49.67
2022-07-01,49.89
2022-08-01,49.66
2022-09-01,49.59
2022-10-01,49.76
2022-11-01,49.51
2022-12-01,49.14
2023-01-01,49.11
2023-02-01,48.78
2023-03-01,48.7
2023-04-01,48.6
2023-05-01,48.91
2023-06-01,48.46
2023-07-01,48.06
2023-08-01,48.25
2023-09-01,48.14
2023-10-01,48.2
2023-11-01,48.19
2023-12-01,47.75
2024-01-01,47.96
2024-02-01,47.93
2024-03-01,47.79
2024-04-01,47.66
2024-05-01,47.61
2024-06-01,47.7
2024-07-01,47.93
2024-08-01,48.14
2024-09-01,48.14
2024-10-01,48.19
2024-11-01,48.33
2024-12-01,48.45
2025-01-01,48.64
2025-02-01,48.6
2025-03-01,48.87
2025-04-01,48.93
2025-05-01,48.87
2025-06-01,48.82
2025-07-01,48.78
2025-08-01,48.93
2025-09-01,49.11
2025-10-01,49.46
2025-11-01,49.63
2025-12-01,49.7
2026-01-01,49.92
2026-02-01,49.81
2026-03-01,49.85
2026-04-01,49.88
2026-05-01,49.83
2026-06-01,49.75
