InicioPeriodo,FimPeriodo,InstituicaoFinanceira,TaxaJurosAoAno
2026-08-07,2026-08-13,BCO MERCEDES-BENZ S.A.,5.32
2026-08-07,2026-08-13,BANCO CNH INDUSTRIAL CAPITAL S.A,6.23
2026-08-07,2026-08-13,BMW SA CFI,10.61
2026-08-07,2026-08-13,BCO RCI BRASIL S.A.,12.29
2026-08-07,2026-08-13,CAIXA ECONOMICA FEDERAL,13.0
2026-08-07,2026-08-13,BCO DA AMAZONIA S.A.,14.6
2026-08-07,2026-08-13,BANCO HYUNDAI CAPITAL BRASIL,15.82
2026-08-07,2026-08-13,BCO DIGIMAIS S.A.,16.85
2026-08-07,2026-08-13,BCO GM S.A.,17.2
2026-08-07,2026-08-13,BANCO TRATON BRASIL S.A.,18.77
2026-08-07,2026-08-13,BCO VOLVO BRASIL S.A.,19.52
2026-08-07,2026-08-13,SCANIA BCO S.A.,20.13
2026-08-07,2026-08-13,STELLANTIS FINANCIAMENTOS CFI,20.23
2026-08-07,2026-08-13,BCO DO EST. DO PA S.A.,21.6
2026-08-07,2026-08-13,BANCO INTER,22.22
2026-08-07,2026-08-13,SAFRA SCFI S.A.,22.42
2026-08-07,2026-08-13,BCO VOLKSWAGEN S.A,22.91
2026-08-07,2026-08-13,BCO TOYOTA DO BRASIL S.A.,23.41
2026-08-07,2026-08-13,BCO BRADESCO S.A.,23.47
2026-08-07,2026-08-13,BCO RODOBENS S.A.,23.93
2026-08-07,2026-08-13,BCO DO BRASIL S.A.,25.01
2026-08-07,2026-08-13,BANCO MONEO S.A.,25.13
2026-08-07,2026-08-13,BRB - CFI S/A,25.41
2026-08-07,2026-08-13,SINOSSERRA S/A - SCFI,25.53
2026-08-07,2026-08-13,SANTANDER SCFI S.A.,26.09
2026-08-07,2026-08-13,BCO BRADESCO FINANC. S.A.,26.42
2026-08-07,2026-08-13,PORTOSEG S.A. CFI,26.45
2026-08-07,2026-08-13,BCO C6 S.A.,26.52
2026-08-07,2026-08-13,BCO BRASILEIRO DE CRÉDITO S.A.,27.21
2026-08-07,2026-08-13,BCO BANESTES S.A.,27.38
2026-08-07,2026-08-13,ITAÚ UNIBANCO HOLDING S.A.,28.06
2026-08-07,2026-08-13,BCO VOTORANTIM S.A.,30.83
2026-08-07,2026-08-13,BCO HONDA S.A.,34.74
2026-08-07,2026-08-13,BCO YAMAHA MOTOR S.A.,35.97
2026-08-07,2026-08-13,AGORACRED S/A SCFI,40.76
2026-08-07,2026-08-13,BANCO PAN,41.31
2026-08-07,2026-08-13,FINAMAX S.A. CFI,46.17
2026-08-07,2026-08-13,BCO DAYCOVAL S.A,46.77
2026-08-07,2026-08-13,OMNI SA CFI,48.88
2026-08-10,2026-08-14,BCO MERCEDES-BENZ S.A.,6.11
2026-08-10,2026-08-14,BANCO CNH INDUSTRIAL CAPITAL S.A,8.88
2026-08-10,2026-08-14,BMW SA CFI,11.19
2026-08-10,2026-08-14,BCO RCI BRASIL S.A.,12.37
2026-08-10,2026-08-14,CAIXA ECONOMICA FEDERAL,12.93
2026-08-10,2026-08-14,BCO DA AMAZONIA S.A.,14.48
2026-08-10,2026-08-14,BANCO HYUNDAI CAPITAL BRASIL,15.72
2026-08-10,2026-08-14,BCO DIGIMAIS S.A.,16.85
2026-08-10,2026-08-14,BCO GM S.A.,17.27
2026-08-10,2026-08-14,BANCO TRATON BRASIL S.A.,18.88
2026-08-10,2026-08-14,SCANIA BCO S.A.,20.13
2026-08-10,2026-08-14,STELLANTIS FINANCIAMENTOS CFI,20.18
2026-08-10,2026-08-14,BCO VOLVO BRASIL S.A.,20.19
2026-08-10,2026-08-14,BANCO INTER,22.17
2026-08-10,2026-08-14,SAFRA SCFI S.A.,22.2
2026-08-10,2026-08-14,BCO VOLKSWAGEN S.A,22.95
2026-08-10,2026-08-14,BCO BRADESCO S.A.,23.38
2026-08-10,2026-08-14,BCO TOYOTA DO BRASIL S.A.,23.46
2026-08-10,2026-08-14,BCO RODOBENS S.A.,23.5
2026-08-10,2026-08-14,BCO DO EST. DO PA S.A.,24.33
2026-08-10,2026-08-14,BCO DO BRASIL S.A.,24.44
2026-08-10,2026-08-14,SINOSSERRA S/A - SCFI,25.04
2026-08-10,2026-08-14,BRB - CFI S/A,25.41
2026-08-10,2026-08-14,BCO BRADESCO FINANC. S.A.,26.09
2026-08-10,2026-08-14,SANTANDER SCFI S.A.,26.17
2026-08-10,2026-08-14,PORTOSEG S.A. CFI,26.26
2026-08-10,2026-08-14,BCO C6 S.A.,26.32
2026-08-10,2026-08-14,BCO BRASILEIRO DE CRÉDITO S.A.,27.15
2026-08-10,2026-08-14,BCO BANESTES S.A.,27.63
2026-08-10,2026-08-14,ITAÚ UNIBANCO HOLDING S.A.,27.96
2026-08-10,2026-08-14,BCO VOTORANTIM S.A.,30.73
2026-08-10,2026-08-14,BCO HONDA S.A.,34.54
2026-08-10,2026-08-14,BCO YAMAHA MOTOR S.A.,35.7
2026-08-10,2026-08-14,BANCO PAN,41.22
2026-08-10,2026-08-14,AGORACRED S/A SCFI,41.51
2026-08-10,2026-08-14,FINAMAX S.A. CFI,46.01
2026-08-10,2026-08-14,BCO DAYCOVAL S.A,46.76
2026-08-10,2026-08-14,OMNI SA CFI,48.92
2026-08-11,2026-08-17,BCO MERCEDES-BENZ S.A.,4.83
2026-08-11,2026-08-17,BANCO CNH INDUSTRIAL CAPITAL S.A,8.88
2026-08-11,2026-08-17,BMW SA CFI,12.2
2026-08-11,2026-08-17,BCO RCI BRASIL S.A.,12.38
2026-08-11,2026-08-17,BCO STELLANTIS S.A.,12.8
2026-08-11,2026-08-17,CAIXA ECONOMICA FEDERAL,12.86
2026-08-11,2026-08-17,BCO DA AMAZONIA S.A.,14.48
2026-08-11,2026-08-17,BANCO HYUNDAI CAPITAL BRASIL,15.39
2026-08-11,2026-08-17,BCO DIGIMAIS S.A.,16.85
2026-08-11,2026-08-17,BCO GM S.A.,17.4
2026-08-11,2026-08-17,BANCO TRATON BRASIL S.A.,18.81
2026-08-11,2026-08-17,STELLANTIS FINANCIAMENTOS CFI,20.06
2026-08-11,2026-08-17,SCANIA BCO S.A.,20.13
2026-08-11,2026-08-17,BCO VOLVO BRASIL S.A.,20.19
2026-08-11,2026-08-17,SAFRA SCFI S.A.,22.16
2026-08-11,2026-08-17,BANCO INTER,22.42
2026-08-11,2026-08-17,BCO VOLKSWAGEN S.A,22.79
2026-08-11,2026-08-17,BCO BRADESCO S.A.,23.32
2026-08-11,2026-08-17,BCO TOYOTA DO BRASIL S.A.,23.33
2026-08-11,2026-08-17,BCO RODOBENS S.A.,23.4
2026-08-11,2026-08-17,BCO DO EST. DO PA S.A.,24.33
2026-08-11,2026-08-17,BCO DO BRASIL S.A.,24.57
2026-08-11,2026-08-17,SINOSSERRA S/A - SCFI,24.61
2026-08-11,2026-08-17,BRB - CFI S/A,25.34
2026-08-11,2026-08-17,PORTOSEG S.A. CFI,25.66
2026-08-11,2026-08-17,BCO C6 S.A.,26.04
2026-08-11,2026-08-17,SANTANDER SCFI S.A.,26.13
2026-08-11,2026-08-17,BCO BRADESCO FINANC. S.A.,26.15
2026-08-11,2026-08-17,BCO BRASILEIRO DE CRÉDITO S.A.,27.08
2026-08-11,2026-08-17,ITAÚ UNIBANCO HOLDING S.A.,27.88
2026-08-11,2026-08-17,BCO BANESTES S.A.,28.67
2026-08-11,2026-08-17,BCO VOTORANTIM S.A.,30.75
2026-08-11,2026-08-17,BCO HONDA S.A.,34.24
2026-08-11,2026-08-17,BCO YAMAHA MOTOR S.A.,35.6
2026-08-11,2026-08-17,AGORACRED S/A SCFI,39.84
2026-08-11,2026-08-17,BANCO PAN,40.9
2026-08-11,2026-08-17,FINAMAX S.A. CFI,43.75
2026-08-11,2026-08-17,BCO DAYCOVAL S.A,46.67
2026-08-11,2026-08-17,OMNI SA CFI,48.7
2026-08-12,2026-08-18,BCO MERCEDES-BENZ S.A.,6.3
2026-08-12,2026-08-18,BANCO CNH INDUSTRIAL CAPITAL S.A,8.88
2026-08-12,2026-08-18,BMW SA CFI,11.55
2026-08-12,2026-08-18,BCO RCI BRASIL S.A.,12.23
2026-08-12,2026-08-18,BCO STELLANTIS S.A.,12.8
2026-08-12,2026-08-18,CAIXA ECONOMICA FEDERAL,12.91
2026-08-12,2026-08-18,BCO DA AMAZONIA S.A.,14.51
2026-08-12,2026-08-18,BANCO HYUNDAI CAPITAL BRASIL,15.74
2026-08-12,2026-08-18,BCO DIGIMAIS S.A.,16.85
2026-08-12,2026-08-18,BCO GM S.A.,17.5
2026-08-12,2026-08-18,BANCO TRATON BRASIL S.A.,18.61
2026-08-12,2026-08-18,STELLANTIS FINANCIAMENTOS CFI,19.89
2026-08-12,2026-08-18,BCO VOLVO BRASIL S.A.,20.19
2026-08-12,2026-08-18,SCANIA BCO S.A.,21.86
2026-08-12,2026-08-18,SAFRA SCFI S.A.,22.07
2026-08-12,2026-08-18,BCO VOLKSWAGEN S.A,22.47
2026-08-12,2026-08-18,BCO RODOBENS S.A.,22.71
2026-08-12,2026-08-18,BANCO INTER,23.06
2026-08-12,2026-08-18,BCO TOYOTA DO BRASIL S.A.,23.26
2026-08-12,2026-08-18,BCO BRADESCO S.A.,23.37
2026-08-12,2026-08-18,SINOSSERRA S/A - SCFI,24.08
2026-08-12,2026-08-18,BCO DO BRASIL S.A.,24.24
2026-08-12,2026-08-18,BCO DO EST. DO PA S.A.,24.33
2026-08-12,2026-08-18,BRB - CFI S/A,25.34
2026-08-12,2026-08-18,BCO C6 S.A.,25.82
2026-08-12,2026-08-18,SANTANDER SCFI S.A.,25.93
2026-08-12,2026-08-18,PORTOSEG S.A. CFI,26.03
2026-08-12,2026-08-18,BCO BRADESCO FINANC. S.A.,26.09
2026-08-12,2026-08-18,BCO BRASILEIRO DE CRÉDITO S.A.,27.1
2026-08-12,2026-08-18,ITAÚ UNIBANCO HOLDING S.A.,27.89
2026-08-12,2026-08-18,BCO BANESTES S.A.,28.72
2026-08-12,2026-08-18,BCO VOTORANTIM S.A.,30.7
2026-08-12,2026-08-18,BCO HONDA S.A.,34.01
2026-08-12,2026-08-18,BCO DO ESTADO DO RS S.A.,35.12
2026-08-12,2026-08-18,BCO YAMAHA MOTOR S.A.,35.8
2026-08-12,2026-08-18,AGORACRED S/A SCFI,39.69
2026-08-12,2026-08-18,BANCO PAN,40.78
2026-08-12,2026-08-18,FINAMAX S.A. CFI,43.34
2026-08-12,2026-08-18,BCO DAYCOVAL S.A,46.57
