InicioPeriodo,FimPeriodo,Segmento,Modalidade,InstituicaoFinanceira,TaxaJurosAoAno
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BMW SA CFI,10.82
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BCO MERCEDES-BENZ S.A.,11.49
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BCO RCI BRASIL S.A.,11.51
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BCO STELLANTIS S.A.,12.05
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,CAIXA ECONOMICA FEDERAL,12.71
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BCO DA AMAZONIA S.A.,13.89
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BANCO HYUNDAI CAPITAL BRASIL,14.75
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BCO GM S.A.,17.33
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BANCO TRATON BRASIL S.A.,18.54
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,SCANIA BCO S.A.,19.82
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,STELLANTIS FINANCIAMENTOS CFI,20.09
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BCO VOLVO BRASIL S.A.,20.63
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BANCO CNH INDUSTRIAL CAPITAL S.A,20.87
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BCO VOLKSWAGEN S.A,21.52
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,SAFRA SCFI S.A.,21.67
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BCO TOYOTA DO BRASIL S.A.,21.95
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BCO DO BRASIL S.A.,21.95
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BANCO INTER,22.16
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BCO RODOBENS S.A.,22.62
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BCO BRADESCO S.A.,22.89
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BRB - CFI S/A,24.2
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,SANTANDER SCFI S.A.,24.44
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,SINOSSERRA S/A - SCFI,24.9
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BCO BANESTES S.A.,25.13
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BCO BRADESCO FINANC. S.A.,26.11
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BCO C6 S.A.,26.19
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,PORTOSEG S.A. CFI,26.29
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BCO BRASILEIRO DE CRÉDITO S.A.,26.95
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,ITAÚ UNIBANCO HOLDING S.A.,27.42
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BCO VOTORANTIM S.A.,30.89
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BCO HONDA S.A.,33.49
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BCO YAMAHA MOTOR S.A.,35.1
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BANCO PAN,39.63
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,AGORACRED S/A SCFI,40.55
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,BCO DAYCOVAL S.A,46.36
2026-08-28,2026-09-03,PESSOA FÍSICA,Aquisição de veículos - Prefixado,OMNI SA CFI,46.79
