data,imobiliario
2011-03-01,18.06
2011-04-01,18.29
2011-05-01,19.43
2011-06-01,19.14
2011-07-01,19.51
2011-08-01,19.37
2011-09-01,18.88
2011-10-01,18.82
2011-11-01,18.07
2011-12-01,17.62
2012-01-01,17.63
2012-02-01,17.34
2012-03-01,16.91
2012-04-01,15.97
2012-05-01,14.08
2012-06-01,12.34
2012-07-01,12.06
2012-08-01,12.5
2012-09-01,13.25
2012-10-01,13.29
2012-11-01,13.44
2012-12-01,12.96
2013-01-01,12.88
2013-02-01,12.67
2013-03-01,12.28
2013-04-01,12.24
2013-05-01,11.99
2013-06-01,11.93
2013-07-01,12.34
2013-08-01,12.34
2013-09-01,12.57
2013-10-01,12.84
2013-11-01,14.0
2013-12-01,13.91
2014-01-01,15.16
2014-02-01,14.48
2014-03-01,16.68
2014-04-01,15.69
2014-05-01,14.19
2014-06-01,13.73
2014-07-01,14.21
2014-08-01,13.89
2014-09-01,13.52
2014-10-01,13.33
2014-11-01,13.33
2014-12-01,12.15
2015-01-01,12.47
2015-02-01,12.96
2015-03-01,13.33
2015-04-01,13.08
2015-05-01,14.16
2015-06-01,14.7
2015-07-01,14.87
2015-08-01,14.59
2015-09-01,14.97
2015-10-01,14.98
2015-11-01,15.12
2015-12-01,14.21
2016-01-01,15.14
2016-02-01,14.74
2016-03-01,15.3
2016-04-01,14.98
2016-05-01,15.76
2016-06-01,15.73
2016-07-01,15.89
2016-08-01,15.73
2016-09-01,15.62
2016-10-01,14.91
2016-11-01,15.6
2016-12-01,15.39
2017-01-01,15.37
2017-02-01,15.05
2017-03-01,14.51
2017-04-01,13.74
2017-05-01,14.72
2017-06-01,13.26
2017-07-01,12.98
2017-08-01,11.77
2017-09-01,12.07
2017-10-01,11.94
2017-11-01,12.03
2017-12-01,11.01
2018-01-01,11.33
2018-02-01,11.07
2018-03-01,10.78
2018-04-01,10.76
2018-05-01,10.39
2018-06-01,10.06
2018-07-01,9.93
2018-08-01,9.73
2018-09-01,9.56
2018-10-01,9.45
2018-11-01,9.5
2018-12-01,9.52
2019-01-01,9.27
2019-02-01,9.45
2019-03-01,9.45
2019-04-01,9.34
2019-05-01,9.27
2019-06-01,9.2
2019-07-01,9.17
2019-08-01,8.87
2019-09-01,8.7
2019-10-01,8.52
2019-11-01,8.19
2019-12-01,7.96
2020-01-01,7.96
2020-02-01,7.92
2020-03-01,8.05
2020-04-01,7.89
2020-05-01,7.93
2020-06-01,7.9
2020-07-01,7.76
2020-08-01,7.59
2020-09-01,7.6
2020-10-01,7.67
2020-11-01,7.78
2020-12-01,7.77
2021-01-01,7.45
2021-02-01,7.54
2021-03-01,7.86
2021-04-01,7.48
2021-05-01,7.57
2021-06-01,7.64
2021-07-01,7.6
2021-08-01,7.69
2021-09-01,7.93
2021-10-01,8.23
2021-11-01,8.63
2021-12-01,9.49
2022-01-01,9.92
2022-02-01,8.86
2022-03-01,10.28
2022-04-01,10.27
2022-05-01,10.94
2022-06-01,11.07
2022-07-01,11.48
2022-08-01,11.55
2022-09-01,11.14
2022-10-01,10.98
2022-11-01,11.15
2022-12-01,11.75
2023-01-01,11.93
2023-02-01,10.83
2023-03-01,11.97
2023-04-01,11.95
2023-05-01,12.77
2023-06-01,12.73
2023-07-01,13.01
2023-08-01,12.6
2023-09-01,12.04
2023-10-01,11.78
2023-11-01,11.95
2023-12-01,11.45
2024-01-01,11.54
2024-02-01,11.17
2024-03-01,11.6
2024-04-01,11.37
2024-05-01,11.47
2024-06-01,11.61
2024-07-01,11.44
2024-08-01,11.45
2024-09-01,11.41
2024-10-01,11.61
2024-11-01,11.61
2024-12-01,12.09
2025-01-01,13.22
2025-02-01,12.72
2025-03-01,14.13
2025-04-01,14.18
2025-05-01,14.63
2025-06-01,14.73
2025-07-01,14.88
2025-08-01,14.87
2025-09-01,14.88
2025-10-01,14.85
2025-11-01,14.74
2025-12-01,14.7
2026-01-01,14.6
2026-02-01,14.09
2026-03-01,14.32
2026-04-01,14.26
2026-05-01,14.33
2026-06-01,14.31
2026-07-01,14.28
