data,veiculos
2000-06-01,35.54
2000-07-01,35.95
2000-08-01,34.79
2000-09-01,35.22
2000-10-01,34.24
2000-11-01,34.3
2000-12-01,35.05
2001-01-01,34.93
2001-02-01,34.45
2001-03-01,33.64
2001-04-01,36.17
2001-05-01,37.42
2001-06-01,38.61
2001-07-01,41.95
2001-08-01,44.32
2001-09-01,44.32
2001-10-01,45.69
2001-11-01,40.35
2001-12-01,38.24
2002-01-01,41.94
2002-02-01,41.94
2002-03-01,40.76
2002-04-01,37.1
2002-05-01,38.86
2002-06-01,42.71
2002-07-01,50.38
2002-08-01,50.02
2002-09-01,47.37
2002-10-01,52.98
2002-11-01,54.94
2002-12-01,55.53
2003-01-01,53.85
2003-02-01,53.19
2003-03-01,53.46
2003-04-01,50.31
2003-05-01,47.44
2003-06-01,45.09
2003-07-01,42.94
2003-08-01,41.36
2003-09-01,38.78
2003-10-01,37.3
2003-11-01,36.55
2003-12-01,36.85
2004-01-01,36.13
2004-02-01,35.66
2004-03-01,35.08
2004-04-01,34.96
2004-05-01,35.29
2004-06-01,36.32
2004-07-01,36.1
2004-08-01,36.34
2004-09-01,35.73
2004-10-01,35.55
2004-11-01,35.63
2004-12-01,35.63
2005-01-01,36.52
2005-02-01,36.18
2005-03-01,36.65
2005-04-01,36.95
2005-05-01,37.42
2005-06-01,36.91
2005-07-01,36.14
2005-08-01,35.66
2005-09-01,35.88
2005-10-01,35.59
2005-11-01,34.89
2005-12-01,34.8
2006-01-01,35.27
2006-02-01,35.18
2006-03-01,34.43
2006-04-01,34.09
2006-05-01,33.34
2006-06-01,33.25
2006-07-01,32.58
2006-08-01,32.9
2006-09-01,32.99
2006-10-01,32.98
2006-11-01,33.09
2006-12-01,32.32
2007-01-01,32.68
2007-02-01,32.0
2007-03-01,31.21
2007-04-01,30.48
2007-05-01,29.8
2007-06-01,29.43
2007-07-01,28.66
2007-08-01,28.68
2007-09-01,28.63
2007-10-01,28.44
2007-11-01,28.53
2007-12-01,28.76
2008-01-01,31.22
2008-02-01,31.24
2008-03-01,30.08
2008-04-01,29.81
2008-05-01,30.61
2008-06-01,31.09
2008-07-01,33.46
2008-08-01,33.34
2008-09-01,33.05
2008-10-01,34.15
2008-11-01,37.71
2008-12-01,36.51
2009-01-01,34.66
2009-02-01,31.75
2009-03-01,29.67
2009-04-01,29.88
2009-05-01,29.15
2009-06-01,26.85
2009-07-01,26.92
2009-08-01,26.21
2009-09-01,24.94
2009-10-01,25.56
2009-11-01,25.3
2009-12-01,25.37
2010-01-01,25.22
2010-02-01,24.12
2010-03-01,23.51
2010-04-01,23.53
2010-05-01,24.82
2010-06-01,23.61
2010-07-01,23.96
2010-08-01,23.44
2010-09-01,23.33
2010-10-01,23.54
2010-11-01,22.76
2010-12-01,25.19
2011-01-01,27.15
2011-02-01,27.34
2011-03-01,27.95
2011-04-01,28.44
2011-05-01,28.33
2011-06-01,28.05
2011-07-01,28.02
2011-08-01,27.36
2011-09-01,26.23
2011-10-01,26.2
2011-11-01,25.92
2011-12-01,25.26
2012-01-01,25.49
2012-02-01,25.58
2012-03-01,25.41
2012-04-01,24.75
2012-05-01,22.57
2012-06-01,20.23
2012-07-01,20.7
2012-08-01,20.31
2012-09-01,21.09
2012-10-01,20.51
2012-11-01,20.47
2012-12-01,19.75
2013-01-01,20.53
2013-02-01,20.71
2013-03-01,19.73
2013-04-01,19.92
2013-05-01,19.73
2013-06-01,19.47
2013-07-01,20.28
2013-08-01,21.24
2013-09-01,21.6
2013-10-01,20.83
2013-11-01,21.28
2013-12-01,21.29
2014-01-01,22.74
2014-02-01,23.85
2014-03-01,23.54
2014-04-01,22.62
2014-05-01,22.99
2014-06-01,23.02
2014-07-01,23.14
2014-08-01,23.23
2014-09-01,22.78
2014-10-01,23.04
2014-11-01,22.67
2014-12-01,22.34
2015-01-01,23.84
2015-02-01,24.76
2015-03-01,24.67
2015-04-01,24.55
2015-05-01,24.81
2015-06-01,24.71
2015-07-01,24.5
2015-08-01,24.79
2015-09-01,25.57
2015-10-01,25.89
2015-11-01,26.18
2015-12-01,26.01
2016-01-01,27.48
2016-02-01,27.56
2016-03-01,27.01
2016-04-01,26.77
2016-05-01,26.33
2016-06-01,25.97
2016-07-01,25.99
2016-08-01,26.17
2016-09-01,26.13
2016-10-01,25.75
2016-11-01,25.85
2016-12-01,25.7
2017-01-01,26.18
2017-02-01,25.71
2017-03-01,24.8
2017-04-01,24.39
2017-05-01,24.25
2017-06-01,24.03
2017-07-01,23.79
2017-08-01,23.22
2017-09-01,22.96
2017-10-01,22.51
2017-11-01,22.14
2017-12-01,22.23
2018-01-01,22.74
2018-02-01,22.47
2018-03-01,21.75
2018-04-01,21.53
2018-05-01,21.49
2018-06-01,21.96
2018-07-01,22.34
2018-08-01,22.17
2018-09-01,22.17
2018-10-01,22.36
2018-11-01,21.68
2018-12-01,21.68
2019-01-01,22.36
2019-02-01,22.01
2019-03-01,21.38
2019-04-01,21.26
2019-05-01,21.1
2019-06-01,20.8
2019-07-01,20.34
2019-08-01,20.1
2019-09-01,19.79
2019-10-01,19.65
2019-11-01,19.29
2019-12-01,19.15
2020-01-01,19.73
2020-02-01,19.4
2020-03-01,19.76
2020-04-01,20.38
2020-05-01,19.46
2020-06-01,18.99
2020-07-01,18.88
2020-08-01,18.88
2020-09-01,18.56
2020-10-01,18.88
2020-11-01,18.97
2020-12-01,19.2
2021-01-01,20.21
2021-02-01,19.96
